,Total L2 error,Total L1 error,Total IoU error,L2 for 1 genre,L2 for 2 genre,L2 for 3 genre,L1 for 1 genre,L1 for 2 genre,L1 for 3 genre,IoU for 1 genre,IoU for 2 genre,IoU for 3 genre
Random Forest,1.0173996257427655,1.4314185228604923,0.4679562329034776,0.5424082806927213,1.0151108672638525,1.3647514316806388,0.6540084388185654,1.389655172413793,2.0337423312883436,0.5780590717299579,0.42931034482758623,0.42229038854805734
KNN,1.1968467417932773,1.8522860492379836,0.44450957405236385,0.7850536186262891,1.2687163823454681,1.4322847001688703,1.0928270042194093,1.9482758620689655,2.3190184049079754,0.5063291139240507,0.39827586206896554,0.44069529652351724
MLP,1.4205984716947813,2.104337631887456,0.0,1.0,1.4142135623731023,1.7320508075688805,1.0,2.0,3.0,0.0,0.0,0.0
Extra Trees,1.0283517827481163,1.436107854630715,0.45193434935521676,0.5700926979508399,1.0305656313531173,1.3595339514643916,0.6582278481012658,1.403448275862069,2.0306748466257667,0.5358649789029536,0.4189655172413793,0.42024539877300604
